topic,description,difficulty,remark,subfield,geometric_structure_data
Newton_Raphson_Method,Newton's method approximates a root by iteration: x_{n+1} = x_n − f(x_n)/f′(x_n). It uses the tangent line at x_n to estimate the next approximation.,Medium,Widely used in numerical root-finding problems in science and engineering.,Numerical Analysis,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Newton_Raphson_Method; mode=hypothesized; source=hypothesized; confidence=0.55; steps=12; OBJ_1=axes; P: X1(-4,0,0), X2(4,0,0), Y1(0,-3,0), Y2(0,3,0), O(0,0,0); E: XAXIS(X1,X2,L=8.0,type=x_axis), YAXIS(Y1,Y2,L=6.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=curve; P: A(-3,2.0,0), B(3,-2.0,0); E: fcurve(A,B,type=function_graph); OBJ_3=iteration_step; P: x0(-2,0,0)[x0], P0(-2,1.6,0)[on_curve], x1(-1.2,0,0)[x1]; E: tangent_at_P0(P0,type=tangent_line), drop_to_axis(P0->x0), intersect_tangent_with_xaxis(P0->x1); REL: newton_update(x0->x1); OBJ_4=formula_box; BOX:C(0,-2.6,0),w=11.8,h=2.4; P: TL(-5.9,-1.4,0), TR(5.9,-1.4,0), BR(5.9,-3.8,0), BL(-5.9,-3.8,0); E: TOP(TL,TR,L=11.8,type=box_edge), RIGHT(TR,BR,L=2.4,type=box_edge), BOTTOM(BR,BL,L=11.8,type=box_edge), LEFT(BL,TL,L=2.4,type=box_edge); TEXT:A2(0,-2.6,0),align=center,content='x_{n+1} = x_n − f(x_n)/f′(x_n)'; OPS: create_axes(O), draw_curve, pt(x0,-2,0,0), pt(P0,-2,1.6,0), draw_tangent(P0), mark_intersection_with_xaxis(x1), create_box(C=0,-2.6,0,w=11.8,h=2.4), place_text(A=0,-2.6,0)."
Rolles_Theorem,"If f is continuous on [a,b], differentiable on (a,b), and f(a)=f(b), then there exists c in (a,b) such that f′(c)=0.",Medium,A special case of the Mean Value Theorem; guarantees a horizontal tangent when endpoints share the same value.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Rolles_Theorem; mode=hypothesized; source=hypothesized; confidence=0.60; steps=10; OBJ_1=axes; P: X1(-4,0,0), X2(4,0,0), Y1(0,-3,0), Y2(0,3,0), O(0,0,0); E: XAXIS(X1,X2,L=8.0,type=x_axis), YAXIS(Y1,Y2,L=6.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=curve_equal_endpoints; P: A(-3,0.5,0)[f(a)], B(3,0.5,0)[f(b)], Cpt(0,2.0,0)[f′(c)=0]; E: curve(A,B,type=smooth_curve); E2: tangent(Cpt,dir=(1,0,0),type=tangent_line); REL: endpoint_equal(A,B), horizontal_tangent(at=Cpt); OBJ_3=formula_box; BOX:C(0,-2.6,0),w=10.6,h=2.3; P: TL(-5.3,-1.45,0), TR(5.3,-1.45,0), BR(5.3,-3.75,0), BL(-5.3,-3.75,0); E: TOP(TL,TR,L=10.6,type=box_edge), RIGHT(TR,BR,L=2.3,type=box_edge), BOTTOM(BR,BL,L=10.6,type=box_edge), LEFT(BL,TL,L=2.3,type=box_edge); TEXT:A2(0,-2.6,0),align=center,content='f(a)=f(b) ⇒ ∃c∈(a,b): f′(c)=0'; OPS: create_axes(O), draw_curve(A,B), mark_point(A), mark_point(B), mark_point(Cpt), draw_tangent(Cpt), create_box(C=0,-2.6,0,w=10.6,h=2.3), place_text(A=0,-2.6,0)."
Second_Derivative_Test,"At a critical point c where f′(c)=0, if f″(c)>0 then f has a local minimum at c; if f″(c)<0 then f has a local maximum at c.",Medium,Classifies local extrema using concavity near a critical point.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Second_Derivative_Test; mode=hypothesized; source=hypothesized; confidence=0.60; steps=8; OBJ_1=axes; P: X1(-4,0,0), X2(4,0,0), Y1(0,-3,0), Y2(0,3,0), O(0,0,0); E: XAXIS(X1,X2,L=8.0,type=x_axis), YAXIS(Y1,Y2,L=6.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=two_local_shapes; P: Cmin(-1,-1.0,0)[min], Cmax(1,1.0,0)[max]; E: upcurve(around=Cmin,type=concave_up), downcurve(around=Cmax,type=concave_down); REL: second_derivative_positive(at=Cmin), second_derivative_negative(at=Cmax); OBJ_3=formula_box; BOX:C(0,-2.6,0),w=11.2,h=2.3; P: TL(-5.6,-1.45,0), TR(5.6,-1.45,0), BR(5.6,-3.75,0), BL(-5.6,-3.75,0); E: TOP(TL,TR,L=11.2,type=box_edge), RIGHT(TR,BR,L=2.3,type=box_edge), BOTTOM(BR,BL,L=11.2,type=box_edge), LEFT(BL,TL,L=2.3,type=box_edge); TEXT:A2(0,-2.6,0),align=center,content='If f′(c)=0: f″(c)>0 ⇒ local min; f″(c)<0 ⇒ local max'; OPS: create_axes(O), draw_curve(upcurve), draw_curve(downcurve), mark_point(Cmin), mark_point(Cmax), create_box(C=0,-2.6,0,w=11.2,h=2.3), place_text(A=0,-2.6,0)."
Pappuss_Theorem_Centroid_Theorems,"Pappus's centroid theorems relate solids/surfaces of revolution to the path length traced by the centroid. For volume: V = A·(2πd). For surface area: S = L·(2πd), where d is the centroid distance to the axis, A is area of the region, and L is arc length of the curve.",Medium,Provides an efficient way to compute volume or surface area of revolution when centroid information is known.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Pappuss_Theorem_Centroid_Theorems; mode=hypothesized; source=hypothesized; confidence=0.55; steps=10; OBJ_1=axis_and_centroid_path; P: O(0,0,0), AX1(-3,0,0), AX2(3,0,0), G(0,1.5,0)[centroid]; E: AX(AX1,AX2,L=6.0,type=axis), OG(O,G,L=1.5,type=distance); REL: centroid_distance(d=|OG|); OBJ_2=centroid_circle_path; REL: circle_path(center=O,r=d,represents=2πd); OBJ_3=formula_box; BOX:C(0,-2.4,0),w=11.8,h=2.6; P: TL(-5.9,-1.1,0), TR(5.9,-1.1,0), BR(5.9,-3.7,0), BL(-5.9,-3.7,0); E: TOP(TL,TR,L=11.8,type=box_edge), RIGHT(TR,BR,L=2.6,type=box_edge), BOTTOM(BR,BL,L=11.8,type=box_edge), LEFT(BL,TL,L=2.6,type=box_edge); TEXT:A2(0,-2.4,0),align=center,content='Pappus: V = A·(2πd),  S = L·(2πd)'; OPS: pt(O,0,0,0), ed(AX,AX1,AX2), pt(G,0,1.5,0), create_circle(center=O,r=1.5), create_box(C=0,-2.4,0,w=11.8,h=2.6), place_text(A=0,-2.4,0)."
Integration_by_Parts,Integration by parts transforms the integral of a product of functions into another form: ∫u dv = uv − ∫v du.,Medium,A core integration technique derived from the product rule.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Integration_by_Parts; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.2,h=2.4; TEXT:A(0,0,0),'∫u dv = uv − ∫v du'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Partial_Fraction_Decomposition,A rational function can be written as a sum of simpler fractions to facilitate integration.,Medium,Widely used for integrating rational expressions.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Partial_Fraction_Decomposition; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.6,h=2.4; TEXT:A(0,0,0),'Rational function ⇒ sum of simpler fractions'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Implicit_Differentiation,Implicit differentiation is used when variables are mixed and y is not isolated explicitly.,Medium,Essential for equations defining curves implicitly.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Implicit_Differentiation; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.0,h=2.2; TEXT:A(0,0,0),'Differentiate both sides w.r.t x'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Related_Rates,Related rates problems involve differentiating equations with respect to time to relate changing quantities.,Medium,Common real-world application of derivatives.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Related_Rates; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.8,h=2.2; TEXT:A(0,0,0),'Differentiate wrt time: d/dt'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
LHopitals_Rule,L'Hôpital's rule evaluates indeterminate limits by differentiating numerator and denominator.,Medium,Used for 0/0 or ∞/∞ forms.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=LHopitals_Rule; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.0,h=2.2; TEXT:A(0,0,0),'lim f/g = lim f' / g''; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Logarithmic_Differentiation,Logarithmic differentiation uses logarithms to simplify differentiation of complex products or powers.,Medium,Useful when variables appear as exponents.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Logarithmic_Differentiation; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.6,h=2.2; TEXT:A(0,0,0),'Take ln both sides before differentiating'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Polar_Coordinates_Conversion,"Conversion between polar and Cartesian coordinates: x=r cosθ, y=r sinθ.",Medium,Foundation for polar graph analysis.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Polar_Coordinates_Conversion; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.8,h=2.2; TEXT:A(0,0,0),'x=r cosθ, y=r sinθ'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Parametric_Derivative,"For parametric equations x(t), y(t), the derivative is dy/dx = (dy/dt)/(dx/dt).",Medium,Core formula for parametric curves.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Parametric_Derivative; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.2,h=2.2; TEXT:A(0,0,0),'dy/dx=(dy/dt)/(dx/dt)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Geometric_Mean_Theorem_Right_Triangle,"In a right triangle, the altitude to the hypotenuse creates segments related by geometric means.",Medium,Important property in right-triangle geometry.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Geometric_Mean_Theorem_Right_Triangle; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.8,h=2.2; TEXT:A(0,0,0),'Altitude² = segment1 × segment2'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Angle_Bisector_Theorem,An angle bisector divides the opposite side proportionally to adjacent sides.,Medium,Frequently used in triangle proportion problems.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Angle_Bisector_Theorem; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.2,h=2.2; TEXT:A(0,0,0),'BD/DC = AB/AC'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Cevas_Theorem,Ceva's theorem gives a condition for three cevians of a triangle to be concurrent.,Medium,Key theorem for concurrency in triangles.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Cevas_Theorem; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.6,h=2.2; TEXT:A(0,0,0),'AF/FB · BD/DC · CE/EA = 1'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Menelaus_Theorem,Menelaus' theorem gives a criterion for collinearity in a triangle.,Medium,Dual relationship with Ceva's theorem.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Menelaus_Theorem; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.6,h=2.2; TEXT:A(0,0,0),'AF/FB · BD/DC · CE/EA = -1'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Binomial_Probability_Formula,"Probability of exactly k successes in n trials: P(X=k)=C(n,k)p^k(1-p)^(n-k).",Medium,Core formula in discrete probability.,Probability,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Binomial_Probability_Formula; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=11.2,h=2.4; TEXT:A(0,0,0),'P(X=k)=C(n,k)p^k(1-p)^(n-k)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Expected_Value_Discrete,Expected value of a discrete random variable is E(X)=Σx·P(x).,Medium,Foundation of probability theory.,Probability,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Expected_Value_Discrete; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.4,h=2.2; TEXT:A(0,0,0),'E(X)=ΣxP(x)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Standard_Deviation_Formula,Standard deviation measures dispersion: σ = √(Σ(x−μ)²/N).,Medium,Key measurement in statistics.,Statistics,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Standard_Deviation_Formula; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.0,h=2.4; TEXT:A(0,0,0),'σ=√(Σ(x-μ)²/N)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Permutation_Formula_nPr,Number of permutations of r objects from n objects is nPr = n!/(n−r)!.,Medium,Used when order matters.,Combinatorics,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Permutation_Formula_nPr; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.8,h=2.2; TEXT:A(0,0,0),'nPr=n!/(n-r)!'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Combination_Formula_nCr,Number of combinations is nCr = n!/[r!(n−r)!].,Medium,Used when order does not matter.,Combinatorics,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Combination_Formula_nCr; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.8,h=2.2; TEXT:A(0,0,0),'nCr=n!/(r!(n-r)!)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Geometric_Series_Infinite,"If |r|<1, the infinite geometric series sum is S = a/(1−r).",Medium,Fundamental infinite series result.,Sequences and Series,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Geometric_Series_Infinite; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.6,h=2.2; TEXT:A(0,0,0),'S=a/(1-r), |r|<1'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Exponential_Growth_Decay,"Exponential models follow y = a·e^(kt), where k determines growth or decay.",Medium,"Widely used in physics, biology, and finance.",Functions,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Exponential_Growth_Decay; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.0,h=2.2; TEXT:A(0,0,0),'y=a·e^(kt)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Logarithm_Change_of_Base,Change of base formula: log_b(a)=log_k(a)/log_k(b).,Medium,Allows computation with any log base.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Logarithm_Change_of_Base; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.6,h=2.2; TEXT:A(0,0,0),'log_b(a)=log_k(a)/log_k(b)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Conic_Sections_Standard_Form,"The general second-degree equation can represent conic sections such as circles, ellipses, parabolas, and hyperbolas.",Medium,Used to classify and analyze conic sections.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Conic_Sections_Standard_Form; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.8,h=2.4; TEXT:A(0,0,0),'Ax²+Bxy+Cy²+Dx+Ey+F=0'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Ellipse_Standard_Equation,The equation of an ellipse centered at the origin is x²/a² + y²/b² = 1.,Medium,Foundation of ellipse geometry.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Ellipse_Standard_Equation; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.8,h=2.2; TEXT:A(0,0,0),'x²/a² + y²/b² = 1'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Hyperbola_Standard_Equation,A hyperbola centered at the origin has equation x²/a² − y²/b² = 1 or vice versa.,Medium,Key model for hyperbolic curves.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Hyperbola_Standard_Equation; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.8,h=2.2; TEXT:A(0,0,0),'x²/a² − y²/b² = 1'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Parabola_Vertex_Form,The vertex form of a parabola is y = a(x−h)² + k.,Medium,Useful for identifying vertex and transformations.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Parabola_Vertex_Form; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.2,h=2.2; TEXT:A(0,0,0),'y=a(x−h)²+k'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Distance_Between_Point_and_Line,"The distance from point (x0,y0) to line Ax+By+C=0 is |Ax0+By0+C|/√(A²+B²).",Medium,Common analytic geometry formula.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Distance_Between_Point_and_Line; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=11.0,h=2.4; TEXT:A(0,0,0),'|Ax₀+By₀+C|/√(A²+B²)'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Vector_Dot_Product,The dot product of vectors is a·b = |a||b|cosθ.,Medium,Used to measure angle and projection.,Vector Analysis,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Vector_Dot_Product; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.8,h=2.2; TEXT:A(0,0,0),'a·b=|a||b|cosθ'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Vector_Cross_Product_Magnitude,The magnitude of cross product is |a×b|=|a||b|sinθ.,Medium,Represents area of parallelogram.,Vector Analysis,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Vector_Cross_Product_Magnitude; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.4,h=2.2; TEXT:A(0,0,0),'|a×b|=|a||b|sinθ'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Projection_of_Vector,Projection of vector a onto b is proj_b(a) = (a·b/|b|²)b.,Medium,Important in geometry and physics.,Vector Analysis,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Projection_of_Vector; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.2,h=2.3; TEXT:A(0,0,0),'proj_b(a)=(a·b/|b|²)b'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Matrix_Multiplication_Rule,Matrix multiplication combines rows and columns through dot products.,Medium,Core operation in linear algebra.,Linear Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Matrix_Multiplication_Rule; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.0,h=2.2; TEXT:A(0,0,0),'C_ij = Σ A_ik B_kj'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Determinant_of_2x2,The determinant of a 2×2 matrix is ad−bc.,Medium,Basic determinant formula.,Linear Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Determinant_of_2x2; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.4,h=2.0; TEXT:A(0,0,0),'det=[[a,b],[c,d]]=ad−bc'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Inverse_of_2x2_Matrix,Inverse of a 2×2 matrix exists if determinant is nonzero.,Medium,Frequently used in solving linear systems.,Linear Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Inverse_of_2x2_Matrix; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.8,h=2.3; TEXT:A(0,0,0),'A⁻¹=(1/det)[[d,-b],[-c,a]]'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Gaussian_Elimination,Gaussian elimination transforms a system into row-echelon form for solving linear equations.,Medium,Standard linear algebra technique.,Linear Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Gaussian_Elimination; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.8,h=2.2; TEXT:A(0,0,0),'Row operations → echelon form'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Geometric_Distribution_Formula,Probability of first success on trial k: P(X=k)=(1−p)^(k−1)p.,Medium,Used for repeated independent trials.,Probability,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Geometric_Distribution_Formula; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.6,h=2.3; TEXT:A(0,0,0),'P(X=k)=(1−p)^(k−1)p'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Poisson_Distribution_Formula,Poisson probability is P(X=k)=e^(−λ)λ^k/k!.,Medium,Models rare independent events.,Probability,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Poisson_Distribution_Formula; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.8,h=2.2; TEXT:A(0,0,0),'P(X=k)=e^(−λ)λ^k/k!'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Normal_Distribution_Density,Normal distribution density function: f(x)=1/(σ√(2π)) exp(-(x−μ)²/(2σ²)).,Medium,Central model in statistics.,Statistics,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Normal_Distribution_Density; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=11.5,h=2.5; TEXT:A(0,0,0),'f(x)=1/(σ√2π)e^{-(x-μ)²/2σ²}'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Central_Angle_Arc_Length,Arc length is given by s = rθ when θ is measured in radians.,Medium,Important for circular geometry.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Central_Angle_Arc_Length; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.8,h=2.0; TEXT:A(0,0,0),'s=rθ'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Sector_Area_Formula,Area of a sector is A = (1/2)r²θ in radians.,Medium,Key area formula in circular geometry.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Sector_Area_Formula; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=8.8,h=2.0; TEXT:A(0,0,0),'A=(1/2)r²θ'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Logistic_Function_Model,Logistic growth model is f(x)=L/(1+e^(−k(x−x0))).,Medium,Used for bounded growth processes.,Functions,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Logistic_Function_Model; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.8,h=2.3; TEXT:A(0,0,0),'f(x)=L/(1+e^{-k(x-x₀)})'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Arithmetic_Sequence_nth_Term,Nth term of arithmetic sequence is a_n = a_1 + (n−1)d.,Medium,Basic formula for linear sequences.,Sequences and Series,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Arithmetic_Sequence_nth_Term; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=9.8,h=2.2; TEXT:A(0,0,0),'a_n=a₁+(n−1)d'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Arithmetic_Sequence_Sum,Sum of first n terms of arithmetic sequence: S_n = n(a_1+a_n)/2.,Medium,Standard arithmetic progression formula.,Sequences and Series,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Arithmetic_Sequence_Sum; mode=hypothesized; OBJ_1:formula_box; BOX:C(0,0,0),w=10.0,h=2.2; TEXT:A(0,0,0),'S_n=n(a₁+a_n)/2'; OPS:create_box>place_text; source=hypothesized; confidence=0.6."
Taylor_Polynomial,Taylor's theorem gives a polynomial approximation of a function that is k-times differentiable near a point; the polynomial is called the kth-degree Taylor polynomial.,Hard,Provides a local polynomial approximation with a remainder term; widely used for error estimation and numerical methods.,Calculus,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Taylor_Polynomial; mode=hypothesized; source=hypothesized; confidence=0.55; steps=10; OBJ_1=axes; P: X1(-4,0,0), X2(4,0,0), Y1(0,-3,0), Y2(0,3,0), O(0,0,0); E: XAXIS(X1,X2,L=8.0,type=x_axis), YAXIS(Y1,Y2,L=6.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=function_and_taylor_poly; P: x0(0,0,0)[expansion_point], F0(0,0.8,0)[f(x0)], S1(-2,0.2,0), S2(2,1.6,0); E: fcurve(S1,S2,type=function_graph), pcurve(S1,S2,type=taylor_polynomial); REL: touch_at(pcurve,fcurve,at=x0,order=k); OBJ_3=annotation; P: Tx0(0,2.2,0); TEXT: Tx0(0,2.2,0),align=center,content='Expand at x0'; OBJ_4=formula_box; BOX:C(0,-2.55,0),w=12.0,h=2.6; P: TL(-6.0,-1.25,0), TR(6.0,-1.25,0), BR(6.0,-3.85,0), BL(-6.0,-3.85,0); E: TOP(TL,TR,L=12.0,type=box_edge), RIGHT(TR,BR,L=2.6,type=box_edge), BOTTOM(BR,BL,L=12.0,type=box_edge), LEFT(BL,TL,L=2.6,type=box_edge); TEXT2:A2(0,-2.55,0),align=center,content='f(x)=Σ_{i=0..k} f^(i)(x0)/i! · (x−x0)^i  + R_{k+1}(x)'; OPS: create_axes(O), draw_curve(fcurve), draw_curve(pcurve), pt(x0,0,0,0), pt(F0,0,0.8,0), place_text(Tx0), create_box(C=0,-2.55,0,w=12.0,h=2.6), place_text(A=0,-2.55,0)."
Simpsons_Rule,"In numerical integration, Simpson's rule approximates a definite integral by fitting parabolic arcs through subinterval endpoints and midpoints.",Hard,A classical Newton–Cotes method; exact for polynomials up to degree 3 on each pair of subintervals.,Numerical Analysis,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Simpsons_Rule; mode=hypothesized; source=hypothesized; confidence=0.55; steps=12; OBJ_1=axes; P: X1(-4,0,0), X2(4,0,0), Y1(0,-2.8,0), Y2(0,2.8,0), O(0,0,0); E: XAXIS(X1,X2,L=8.0,type=x_axis), YAXIS(Y1,Y2,L=5.6,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=function_graph; P: A(-3,0.4,0), B(3,1.8,0); E: fcurve(A,B,type=function_graph); OBJ_3=sample_points; P: a(-2,0,0)[a], m(0,0,0)[mid], b(2,0,0)[b], Pa(-2,0.7,0)[f(a)], Pm(0,1.4,0)[f(m)], Pb(2,1.0,0)[f(b)]; E: va(a,Pa,L=0.7,type=sample), vm(m,Pm,L=1.4,type=sample), vb(b,Pb,L=1.0,type=sample); OBJ_4=parabola_fit; E: pcurve(Pa,Pm,Pb,type=parabola_approx); REL: passes_through(pcurve,Pa,Pm,Pb); OBJ_5=area_shading; REL: approximate_area_under_curve(using=pcurve,interval=[a,b]); OBJ_6=formula_box; BOX:C(0,-2.5,0),w=12.2,h=2.6; P: TL(-6.1,-1.2,0), TR(6.1,-1.2,0), BR(6.1,-3.8,0), BL(-6.1,-3.8,0); E: TOP(TL,TR,L=12.2,type=box_edge), RIGHT(TR,BR,L=2.6,type=box_edge), BOTTOM(BR,BL,L=12.2,type=box_edge), LEFT(BL,TL,L=2.6,type=box_edge); TEXT:A2(0,-2.5,0),align=center,content='∫_a^b f(x)dx ≈ (b−a)/6 · [f(a)+4f((a+b)/2)+f(b)]'; OPS: create_axes(O), draw_curve(fcurve), pt(a,-2,0,0), pt(m,0,0,0), pt(b,2,0,0), pt(Pa,-2,0.7,0), pt(Pm,0,1.4,0), pt(Pb,2,1.0,0), draw_curve(pcurve), shade_area(interval=[a,b]), create_box(C=0,-2.5,0,w=12.2,h=2.6), place_text(A=0,-2.5,0)."
